cmpdname,isosmiles
Isobutyl heptanoate,CCCCCCC(=O)OCC(C)C
Hexyl 2-methylbutanoate,CCCCCCOC(=O)C(C)CC
Armentomycin,C([C@@H](C(=O)O)N)C(Cl)Cl
Norsolorinic acid,CCCCCC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C2=O)C=C(C=C3O)O)O
Nitraminoacetic acid,C(C(=O)O)N[N+](=O)[O-]
2-Ethyl-5-methylpyrazine,CCC1=NC=C(N=C1)C
"3-Ethyl-2,5-dimethylpyrazine",CCC1=NC(=CN=C1C)C
"2-Ethyl-3,5-dimethylpyrazine",CCC1=NC=C(N=C1C)C
Menthone,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
"2,3,5-Trimethylpyrazine",CC1=CN=C(C(=N1)C)C
"2,2,5,5-Tetramethyltetrahydrofuran",CC1(CCC(O1)(C)C)C
Dihydroactinidiolide,CC1(CCCC2(C1=CC(=O)O2)C)C
4-Ethyloxolan-2-one,CCC1CC(=O)OC1
Showdomycin,C1=C(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
"2-Ethyl-3,5,6-trimethylpyrazine",CCC1=NC(=C(N=C1C)C)C
5-Methyl-2-heptanone,CCC(C)CCC(=O)C
Cervicarcin,CC1C(C23C(=O)C4=C(C(C2(O3)C(C1(C(=O)C5C(O5)C)O)O)O)C(=CC=C4)O)O
1-Deoxynojirimycin,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O
Zingerone,CC(=O)CCC1=CC(=C(C=C1)O)OC
Benzyl propionate,CCC(=O)OCC1=CC=CC=C1
2-Phenylethyl propionate,CCC(=O)OCCC1=CC=CC=C1
3-Phenylpropyl acetate,CC(=O)OCCCC1=CC=CC=C1
4-Methoxyphenylacetone,CC(=O)CC1=CC=C(C=C1)OC
3-Phenyl-1-propanol,C1=CC=C(C=C1)CCCO
4-Methoxybenzaldehyde,COC1=CC=C(C=C1)C=O
4-Heptanone,CCCC(=O)CCC
Diethyl succinate,CCOC(=O)CCC(=O)OCC
Ethyl nonanoate,CCCCCCCCC(=O)OCC
"2,5-Dimethylpyrazine",CC1=CN=C(C=N1)C
Myrcene,CC(=CCCC(=C)C=C)C
Diacetone alcohol,CC(=O)CC(C)(C)O
Isoamyl alcohol,CC(C)CCO
Ethyl hexanoate,CCCCCC(=O)OCC
Allyl hexanoate,CCCCCC(=O)OCC=C
Butyl acetate,CCCCOC(=O)C
Isoamyl acetate,CC(C)CCOC(=O)C
Nonanal,CCCCCCCCC=O
Silibinin,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
2-methyl-4-(7H-purin-6-ylamino)butan-1-ol,CC(CCNC1=NC=NC2=C1NC=N2)CO
"Methyl 3,5-dichloro-4-methoxybenzoate",COC1=C(C=C(C=C1Cl)C(=O)OC)Cl
Isotridecanoic acid,CC(C)CCCCCCCCCC(=O)O
Glutamic Acid,C(CC(=O)O)[C@@H](C(=O)O)N
Pyoluteorin,C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O
Lomondomycin,COC(=O)C1=C2C(=NC3=C(N2)C(=O)C=C(C3=CO)O)C(=O)C=C1
Botryodiplodin,CC1C(COC1O)C(=O)C
"3,5-Dihydroxybenzyl alcohol",C1=C(C=C(C=C1O)O)CO
Altenuene,C[C@]12C[C@@H]([C@H](C=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O)O
3-Methyl-2H-azirine-2-carboxylic acid,CC1=NC1C(=O)O
Bikaverin,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=O)C4=C(C3=O)C(=CC(=C4O)OC)O)OC
"L-Arabinose, 2-amino-4-((2-amino-1-oxopropyl)amino)-2,4-dideoxy-, (R)-",C[C@H](C(=O)N[C@H]1CO[C@@H]([C@@H]([C@H]1O)N)O)N
2-Acetyl-7-methoxybenzofuran,CC(=O)C1=CC2=C(O1)C(=CC=C2)OC
Massoia lactone,CCCCCC1CC=CC(=O)O1
Moniliformin,C1=C(C(=O)C1=O)O
Austidiol,CC1=CC2=C(C(=O)[C@]([C@H](C2=CO1)O)(C)O)C=O
N-formyl-p-(methoxy)-styrylamine,COC1=CC=C(C=C1)C=CNC=O
Antibiotic SS-228 Y,CC1=CC(=O)CC2(C1(C=CC3=C2C(=O)C4=C(C3=O)C(=CC=C4)O)O)O
Forphenicine,C1=CC(=C(C=C1C(C(=O)O)N)O)C=O
3-Epi-Deoxynegamycin,CN(CC(=O)O)NC(=O)C[C@H](CCCN)N
N-Acetyl-N'-(3-formyl-4-hydroxyphenyl)hydrazine,CC(=O)NNC1=CC(=C(C=C1)O)C=O
Staurosporine,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
"3,7-Dimethyl-8-hydroxy-6-methoxyisochroman",CC1CC2=CC(=C(C(=C2CO1)O)C)OC
(R)-colchicine,CC(=O)N[C@@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
Thiotropocin,C1=CC(=O)C2=C(C(=C1)S)SOC2=O
Fibrostatin A,CC1=CC(=O)C2=CC(=C(C(=C2C1=O)O)CSC[C@@H](C(=O)O)NC(=O)C)OC
Fibrostatin E,CC(=O)N[C@@H](CSCC1=C(C=C2C(=O)C=C(C(=O)C2=C1O)CO)OC)C(=O)O
"L-Cysteine, N-acetyl-S-((5,8-dihydro-3,6-dimethoxy-5,8-dioxo-1-hydroxy-7-(hydroxymethyl)-2-naphthalenyl)methyl)-",CC(=O)N[C@@H](CSCC1=C(C=C2C(=C1O)C(=O)C(=C(C2=O)OC)CO)OC)C(=O)O
Fibrostatin C,CC(=O)N[C@@H](CSCC1=C(C=C2C(=C1O)C(=O)C=C(C2=O)OC)OC)C(=O)O
Fibrostatin B,CC1=C(C(=O)C2=CC(=C(C(=C2C1=O)O)CSC[C@@H](C(=O)O)NC(=O)C)OC)OC
4-(4-Methoxyphenyl)-2-butanone,CC(=O)CCC1=CC=C(C=C1)OC
"2,6-Dimethyl-5-heptenal",CC(CCC=C(C)C)C=O
Octyl butyrate,CCCCCCCCOC(=O)CCC
Isobutyl benzoate,CC(C)COC(=O)C1=CC=CC=C1
4-Methoxybenzyl formate,COC1=CC=C(C=C1)COC=O
Octyl propionate,CCCCCCCCOC(=O)CC
Furfuryl propionate,CCC(=O)OCC1=CC=CO1
6-Hexyltetrahydro-2H-pyran-2-one,CCCCCCC1CCCC(=O)O1
"3-Methylcyclopentane-1,2-dione",CC1CCC(=O)C1=O
3-Nonanone,CCCCCCC(=O)CC
"2,5-Dimethyl-4-methoxy-3(2H)-furanone",CC1C(=O)C(=C(O1)C)OC
"2,5-Dimethyl-4-oxo-4,5-dihydrofuran-3-yl acetate",CC1C(=O)C(=C(O1)C)OC(=O)C
Butylphthalide,CCCCC1C2=CC=CC=C2C(=O)O1
d-Piperitone,CC1=CC(=O)[C@@H](CC1)C(C)C
Hexyl isovalerate,CCCCCCOC(=O)CC(C)C
4-(Ethoxymethyl)-2-methoxyphenol,CCOCC1=CC(=C(C=C1)O)OC
2-(Methoxymethyl)furan,COCC1=CC=CO1
Butyl 2-methylbutyrate,CCCCOC(=O)C(C)CC
4-(Methylthio)-2-butanone,CC(=O)CCSC
p-Mentha-8-thiol-3-one,CC1CCC(C(=O)C1)C(C)(C)S
Sabinene hydrate,CC(C)C12CCC(C1C2)(C)O
Benzaldehyde dimethyl acetal,COC(C1=CC=CC=C1)OC
Dihydrojasmone,CCCCCC1=C(CCC1=O)C
S-Methyl butanethioate,CCCC(=O)SC
2-Methylbutyl isovalerate,CCC(C)COC(=O)CC(C)C
4-Ethyl-2-methoxyphenol,CCC1=CC(=C(C=C1)O)OC
Ethyl 3-hydroxybutyrate,CCOC(=O)CC(C)O
3-Ethyl-2-hydroxy-2-cyclopenten-1-one,CCC1=C(C(=O)CC1)O
Benzoyleneurea,C1=CC=C2C(=C1)C(=O)NC(=O)N2
"9H-Pyrido[3,4-B]indole",C1=CC=C2C(=C1)C3=C(N2)C=NC=C3
beta-Lysylmethanediamine,C(C[C@H](CC(=O)NCN)N)CN
4-Hydroxybenzamide,C1=CC(=CC=C1C(=O)N)O
Aristeromycin,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CO
"4-Acetyl-1,4-dimethyl-1-cyclohexene",CC1=CCC(CC1)(C)C(=O)C
Cedrol,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O
Octathiocane,S1SSSSSSS1
Isobutyl valerate,CCCCC(=O)OCC(C)C
Toxoflavin,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C
3-Methylbutyl heptanoate,CCCCCCC(=O)OCCC(C)C
Viridicatin,C1=CC=C(C=C1)C2=C(C(=O)NC3=CC=CC=C32)O
Atranorin,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O
"2,4-Dihydroxy-6-methylbenzoic acid",CC1=CC(=CC(=C1C(=O)O)O)O
"2,5-Dimethylresorcinol",CC1=CC(=C(C(=C1)O)C)O
3-Hydroxypropionic acid,C(CO)C(=O)O
Bromodiiodomethane,C(Br)(I)I
Aureothricin,CCC(=O)NC1=C2C(=CSS2)N(C1=O)C
3-Hydroxyphthalic acid,C1=CC(=C(C(=C1)O)C(=O)O)C(=O)O
N-Acetyltryptamine,CC(=O)NCCC1=CNC2=CC=CC=C21
5-Hydroxymaltol,CC1=C(C(=O)C(=CO1)O)O
3-Hydroxy-2-methylpyridine,CC1=C(C=CC=N1)O
3-Cyclohepten-1-one,C1CC=CCC(=O)C1
Cetocycline,CC1=C(C2=C(C3=C(C[C@H]4[C@H](C(=O)C(=C([C@]4(C3=O)O)O)C(=O)C)N)C(=C2C=C1)C)O)O
Oxetanocin A,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@H](O3)CO)CO)N
1-Deoxymannojirimycin,C1[C@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O
7-Hydroxystaurosporine,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@H](NC6=O)O)NC)OC
Sesamin,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
Alkannin,CC(=CC[C@@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C
2-Amino-3H-phenoxazin-3-one,C1=CC=C2C(=C1)N=C3C=C(C(=O)C=C3O2)N
Neplanocin A,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CO
Azoxybacilin,CN=[N+](CC[C@@H](C(=O)O)N)[O-]
"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",C[C@H](CC[C@@H](C(C)(CO)O)O)[C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C
2-Quinolinylmethanol,C1=CC=C2C(=C1)C=CC(=N2)CO
"(1r,2s)-2-Aminocyclopentanecarboxylic acid",C1C[C@H]([C@H](C1)N)C(=O)O
Brazilin,C1C2=CC(=C(C=C2[C@H]3[C@@]1(COC4=C3C=CC(=C4)O)O)O)O
Fusarubin,CC1(CC2=C(CO1)C(=C3C(=O)C=C(C(=O)C3=C2O)OC)O)O
"methyl 2-[(3R)-3-methyl-2,5-dioxopyrrolidin-1-yl]prop-2-enoate",C[C@@H]1CC(=O)N(C1=O)C(=C)C(=O)OC
Ascochitine,CC[C@H](C)C1=C(C2=CC(=O)C(=C(C2=CO1)O)C(=O)O)C
S-Methyl thioacetate,CC(=O)SC
2-Methyl-1H-imidazole-4-carboxylic acid,CC1=NC=C(N1)C(=O)O
2-Ethyl-5-methylfuran,CCC1=CC=C(O1)C
methyl 2-(1H-indol-3-yl)acetate,COC(=O)CC1=CNC2=CC=CC=C21
"Methyl 3,5-dichloro-4-hydroxybenzoate",COC(=O)C1=CC(=C(C(=C1)Cl)O)Cl
(+)-2-Carene,CC1=C[C@H]2[C@H](C2(C)C)CC1
3-Chloro-4-methoxybenzaldehyde,COC1=C(C=C(C=C1)C=O)Cl
4-Hydroxybenzenediazonium,C1=CC(=CC=C1[N+]#N)O
Isobutyl octanoate,CCCCCCCC(=O)OCC(C)C
S-Methyl benzenecarbothioate,CSC(=O)C1=CC=CC=C1
Quinolin-4-ylmethanol,C1=CC=C2C(=C1)C(=CC=N2)CO
Rhodinol,C[C@@H](CCCC(=C)C)CCO
(1S-cis)-2-Methyl-5-(1-methylvinyl)-2-cyclohexen-1-yl acetate,CC1=CC[C@@H](C[C@@H]1OC(=O)C)C(=C)C
Dimethyl pentasulphide,CSSSSSC
2-Hydroxyphenethyl alcohol,C1=CC=C(C(=C1)CCO)O
Caldopentamine,C(CN)CNCCCNCCCNCCCN
Daunomycinone,CC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O)O
Methyl 2-[[(4-methoxyphenyl)methylene]amino]benzoate,COC1=CC=C(C=C1)C=NC2=CC=CC=C2C(=O)OC
"2,6-Dimethoxyterephthalic acid",COC1=CC(=CC(=C1C(=O)O)OC)C(=O)O
"2,5-Dimethyl-3(2H)-furanone",CC1C(=O)C=C(O1)C
4-Hydroxyphenylacetamide,C1=CC(=CC=C1CC(=O)N)O
Hexathiepane,C1SSSSSS1
2-Hydroxy-1-(4-hydroxy-3-methoxyphenyl)ethanone,COC1=C(C=CC(=C1)C(=O)CO)O
Hexyl propionate,CCCCCCOC(=O)CC
p-Methoxyphenethyl acetate,CC(=O)OCCC1=CC=C(C=C1)OC
Cinchonine,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O
Parasiticol,COC1=C2C(=CC(=O)OC2=C3C4C=COC4OC3=C1)CCO
Terreic acid,CC1=C(C(=O)[C@H]2[C@@H](C1=O)O2)O
beta-Thujone,C[C@H]1[C@H]2C[C@]2(CC1=O)C(C)C
beta-Eudesmol,C[C@]12CCCC(=C)[C@@H]1C[C@@H](CC2)C(C)(C)O
Elemol,CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O
N-(3-Methylbut-2-EN-1-YL)-9H-purin-6-amine,CC(=CCNC1=NC=NC2=C1NC=N2)C
Monocerin,CCC[C@H]1C[C@@H]2[C@H](O1)C3=CC(=C(C(=C3C(=O)O2)O)OC)OC
"1H-1,4-Benzodiazepine-2,5-dione, 3-benzylidene-3,4-dihydro-4-methyl-",CN1C(=CC2=CC=CC=C2)C(=O)NC3=CC=CC=C3C1=O
Orotidine,C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)O
2-Hydroxy-4-methylvaleric acid,CC(C)CC(C(=O)O)O
ethyl (2S)-2-hydroxypropanoate,CCOC(=O)[C@H](C)O
16-Dehydropregnenolone acetate,CC(=O)C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)C)C)C
Indole-3-lactic acid,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
Melanostatin,CC(C)C[C@@H](C(=O)NCC(=O)N)NC(=O)[C@@H]1CCCN1
5-Ethyl-4-hydroxy-2-methylfuran-3(2H)-one,CCC1=C(C(=O)C(O1)C)O
"1H-2-Benzopyran-1-one, 3,4-dihydro-3,8-dihydroxy-3-methyl-",CC1(CC2=C(C(=CC=C2)O)C(=O)O1)O
"2,3,5-Trithiahexane",CSCSSC
Colletotrichin,CC1=C(C(=O)C(=C(O1)OC)C[C@H]2C(=C)CC[C@H]3[C@]2(CC[C@@H]([C@]3(C)CCC(C)(C)O)O)C)C(=O)OC
Oxetin,C1[C@@H]([C@@H](O1)C(=O)O)N
Mycobacidin,C1C(=O)NC(S1)CCCCCC(=O)O
Viridin,C[C@]12[C@@H]([C@@H](C(=O)C3=COC(=C31)C(=O)C4=C2C=CC5=C4CCC5=O)OC)O
Sesaminol,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3O)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
diprotin A,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)N
Diffractaic acid,CC1=CC(=C(C(=C1C(=O)O)O)C)OC(=O)C2=C(C(=C(C=C2C)OC)C)OC
"Propionamide, N-phenethyl-",CCC(=O)NCCC1=CC=CC=C1
Phenazine-1-carboxylic acid,C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)O
"1,3-Diphenethylurea",C1=CC=C(C=C1)CCNC(=O)NCCC2=CC=CC=C2
2-Amino-5-hydroxypentanoic acid,C(CC(C(=O)O)N)CO
Pimprinine,CC1=NC=C(O1)C2=CNC3=CC=CC=C32
Canthin-6-one,C1=CC=C2C(=C1)C3=C4N2C(=O)C=CC4=NC=C3
4-Methyl-1-hexanol,CCC(C)CCCO
Sclerin,CC1C2=C(C(=C(C(=C2C)C)C)O)C(=O)OC1=O
"3,5-Dinitro-4-hydroxyphenylacetic acid",C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])CC(=O)O
N-(3-Methylbutyl)acetamide,CC(C)CCNC(=O)C
3-Bromo-4-methoxybenzaldehyde,COC1=C(C=C(C=C1)C=O)Br
Atromentin,C1=CC(=CC=C1C2=C(C(=O)C(=C(C2=O)O)C3=CC=C(C=C3)O)O)O
Tetrangulol,CC1=CC2=C(C(=C1)O)C3=C(C=C2)C(=O)C4=C(C3=O)C=CC=C4O
Epsilon-rhodomycinone,CC[C@]1(C[C@@H](C2=C([C@H]1C(=O)OC)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O
Argvalin,CC(C)C1=NC=C(NC1=O)CCCN=C(N)N
5-Dehydro-D-fructose,C(C(=O)[C@H]([C@@H](C(=O)CO)O)O)O
1-Methylpseudouridine,CN1C=C(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
Mollisin,CC1=CC(=C2C(=O)C=C(C(=O)C2=C1C(=O)C(Cl)Cl)C)O
"(2s)-2-Amino-4-(4-aminocyclohexa-2,5-dien-1-yl)butanoic acid",C1=CC(C=CC1CC[C@@H](C(=O)O)N)N
Sporidesmin,C[C@@]12C(=O)N3[C@@H]4[C@]([C@H]([C@]3(C(=O)N1C)SS2)O)(C5=CC(=C(C(=C5N4C)OC)OC)Cl)O
Lecanoric acid,CC1=CC(=CC(=C1C(=O)OC2=CC(=C(C(=C2)C)C(=O)O)O)O)O
"Anthraquinone, 2-hexanoyl-1,3,8-trihydroxy-6-methoxy-",CCCCCC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C2=O)C=C(C=C3O)OC)O
Brevianamide A,CC1(C2CC34CCCN3C(=O)C2(CC15C(=O)C6=CC=CC=C6N5)NC4=O)C
2-Hydroxy-3-methylbutyric acid,CC(C)C(C(=O)O)O
Sporidesmin B,CC12C(=O)N3C4C(CC3(C(=O)N1C)SS2)(C5=CC(=C(C(=C5N4C)OC)OC)Cl)O
"7,9-dimethyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline",CC1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)C
Acetomycin,C[C@@H]1[C@@H](OC(=O)[C@]1(C)C(=O)C)OC(=O)C
Virantmycin,CC(=C(C)CCC1(C(CC2=C(N1)C=CC(=C2)C(=O)O)Cl)COC)C
Terphenyllin,COC1=C(C(=C(C(=C1)C2=CC=C(C=C2)O)OC)O)C3=CC=C(C=C3)O
Lavendamycin,CC1=C2C3=CC=CC=C3NC2=C(N=C1C(=O)O)C4=NC5=C(C=C4)C(=O)C=C(C5=O)N
TR-2 Mycotoxin,CC(C)(C[C@H]1C2=C([C@@H]([C@@]3(N1C(=O)[C@@H]4CCCN4C3=O)O)O)C5=C(N2)C=C(C=C5)OC)O
"3,4-Dihydroxybenzyl alcohol",C1=CC(=C(C=C1CO)O)O
Gostatin,C1C(C(=O)C(=C(N1)C(=O)O)CC(=O)O)N
"2,6,6-Trimethyl-2-hydroxycyclohexanone",CC1(CCCC(C1=O)(C)O)C
Vetiverol,CC1CC(C=C(C2C1CC(=C(C)C)C2)C)O
(-)-Cinchonidine,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=CC=NC4=CC=CC=C34)O
"6,10-Dimethylundec-9-en-2-one",CC(CCCC(=O)C)CCC=C(C)C
"3-Isobutylhexahydropyrrolo[1,2-a]pyrazine-1,4-dione",CC(C)CC1C(=O)N2CCCC2C(=O)N1
"4H-1-Benzopyran-4-one, 2,3-dihydro-6,7-dimethoxy-2,2-dimethyl-",CC1(CC(=O)C2=CC(=C(C=C2O1)OC)OC)C
N-(Furan-2-ylmethylene)-3-methylbutylamine,CC(C)CCN=CC1=CC=CO1
"3',5'-Dihydroxyacetophenone",CC(=O)C1=CC(=CC(=C1)O)O
Aflatoxicol,COC1=C2C3=C([C@H](CC3)O)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1
Altertoxin I,C1C[C@]2([C@@H]3[C@H](CC(=O)C4=C(C=CC(=C34)C5=C2C(=C(C=C5)O)C1=O)O)O)O
Paxilline,C[C@]12CC[C@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O
"2-[(1R,2R)-3-oxo-2-pent-2-enylcyclopentyl]acetic acid",CCC=CC[C@@H]1[C@H](CCC1=O)CC(=O)O
beta-N-Methylamino-L-alanine,CNC[C@@H](C(=O)O)N
Fumitremorgin B,CC(=CCN1C2=C(C=CC(=C2)OC)C3=C1[C@@H](N4C(=O)[C@@H]5CCCN5C(=O)[C@@]4([C@H]3O)O)C=C(C)C)C
Allyl (3-methylbutoxy)acetate,CC(C)CCOCC(=O)OCC=C
Altertoxin II,C1CC2(C3C4C(O4)C(=O)C5=C(C=CC(=C35)C6=C2C(=C(C=C6)O)C1=O)O)O
Fusarochromanone,CC1(CC(=O)C2=C(O1)C=CC(=C2N)C(=O)CC(CO)N)C
Acromelic acid A,C1[C@@H]([C@@H]([C@H](N1)C(=O)O)CC(=O)O)C2=CC=C(NC2=O)C(=O)O
"4-(2,2,6-Trimethylcyclohexyl)-2-butanone",CC1CCCC(C1CCC(=O)C)(C)C
alpha-Terpinyl acetate,CC1=CCC(CC1)C(C)(C)OC(=O)C
"2,6,6-Trimethylcyclohexene-1-methanol",CC1=C(C(CCC1)(C)C)CO
"3,6-Bis(5-chloro-2-piperidyl)-2,5-piperazinedione",C1CC(NCC1Cl)C2C(=O)NC(C(=O)N2)C3CCC(CN3)Cl
Trichodiene,CC1=CC[C@@](CC1)(C)[C@]2(CCCC2=C)C
Altertoxin III,C1=CC(=C2C3=C1[C@@H]4[C@@H]5[C@@H](O5)C(=O)C6=C(C=CC(=C46)[C@@H]3[C@@H]7[C@H](C2=O)O7)O)O
Coronafacic acid,CC[C@@H]1C[C@H]2[C@H](CCC2=O)C(=C1)C(=O)O
Merulidial,C[C@@]12C[C@@]1(C(=C3CC(C[C@H]3[C@@H]2O)(C)C)C=O)C=O
Rugulovasine A,CC1=C[C@@]2([C@H](CC3=CNC4=CC=CC2=C34)NC)OC1=O
Duocarmycin sa,COC1=C(C(=C2C(=C1)C=C(N2)C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)C6=C5C=C(N6)C(=O)OC)OC)OC
"Resorcinol, 4,6-dichloro-5-methyl-",CC1=C(C(=CC(=C1Cl)O)O)Cl
2-((2-Hydroxyethyl)amino)benzoic acid,C1=CC=C(C(=C1)C(=O)O)NCCO
2-Acetamidobenzamide,CC(=O)NC1=CC=CC=C1C(=O)N
Rugulovasine B,CC1=C[C@@]2([C@@H](CC3=CNC4=CC=CC2=C34)NC)OC1=O
2-Isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone,CC(C)CCCCC(=O)C1[C@@H](COC1=O)CO
Verrucofortine,CC(C)C[C@H]1C(=O)N2[C@@H](C[C@@]3([C@H]2N(C4=CC=CC=C43)C(=O)C)C(C)(C)C=C)C(=O)N1
"1,2-Dihydro-O-methylsterigmatocystin",COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)C5CCOC5O4)OC
Solanapyrone A,C[C@H]1C=C[C@H]2CCCC[C@H]2[C@@H]1C3=CC(=C(C(=O)O3)C=O)OC
Cyclopaldic acid,CC1=C(C(=C2C(OC(=O)C2=C1OC)O)C=O)O
Maculosin,C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=C(C=C3)O
6-(Hydroxymethyl)-9-methoxyphenazine-1-carboxylic acid,COC1=CC=C(C2=NC3=CC=CC(=C3N=C12)C(=O)O)CO
Phenazine-1-carboxamide,C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)N
"4-[(2R)-2-[(1R,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione",C[C@H]1C[C@@H](C(=O)[C@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C
N-Acetyltyramine,CC(=O)NCCC1=CC=C(C=C1)O
"3-Hydroxy-4-methoxy-1-methyl-7-oxabicyclo[4.1.0]hept-3-ene-2,5-dione",CC12C(O1)C(=O)C(=C(C2=O)O)OC
6-deoxyerythronolide B,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O)C)O)C)C)C)O)C
Diazaquinomycin A,CCCC1=C(C(=O)NC2=C1C(=O)C3=C(C2=O)NC(=O)C(=C3CCC)C)C
Nectrisine,C1=N[C@@H]([C@H]([C@H]1O)O)CO
4-(Hydroxymethyl)benzenediazonium,C1=CC(=CC=C1CO)[N+]#N
2-Methylenebornane,CC1(C2CCC1(C(=C)C2)C)C
"3,6-Dibenzylidene-2,5-dioxopiperazine",C1=CC=C(C=C1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2
Hydroxycitric acid,C(C(=O)O)C(C(C(=O)O)O)(C(=O)O)O
Mannostatin A,CS[C@@H]1[C@H]([C@H]([C@H]([C@H]1O)O)O)N
"2-(1-Hydroxy-2-(1,2,3,4,4a,7,8,8a-octahydro-3-hydroxy-5-(hydroxymethyl)-1,2,4a-trimethyl-4-oxo-1-naphthalenyl)ethyl)-alpha-oxooxiraneacetaldehyde",CC1C(C(=O)C2(C(C1(C)CC(C3(CO3)C(=O)C=O)O)CCC=C2CO)C)O
Demethoxyviridin,C[C@]12[C@@H](CC(=O)C3=COC(=C31)C(=O)C4=C2C=CC5=C4CCC5=O)O
Anhydromaggiemycin,CCC1=CC(=C2C(=C1C(=O)OC)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)O
2-Methylarginine,C[C@](CCCN=C(N)N)(C(=O)O)N
"1H-Indole, 3-(2-propyl-5-oxazolyl)-",CCCC1=NC=C(O1)C2=CNC3=CC=CC=C32
